Awardee,Estimated Total Award Amount,Agency
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,"$47,468",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$509,999",NSF
UNIVERSITY OF TEXAS AT DALLAS,"$30,000",NSF
TEXAS TECH UNIVERSITY SYSTEM,"$32,086",NSF
CLEMSON UNIVERSITY,"$49,770",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$510,000",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$179,741",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$43,200",NSF
UNIVERSITY OF CONNECTICUT,"$18,291",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$499,077",NSF
CLARISOND INC,"$150,000",NSF
"HEALTHMYNE, INC.","$150,000",NSF
"EXTEND BIOPHARMA, INC.","$149,499",NSF
CLEMSON UNIVERSITY,"$50,000",NSF
NASCENT DEVICES LLC,"$224,963",NSF
"GLIIMPSE, LLC","$149,818",NSF
SYRACUSE UNIVERSITY,"$127,000",NSF
PHYTOPTION LLC,"$225,000",NSF
"C-CRETE TECHNOLOGIES, LLC","$224,995",NSF
FLUONIC INC.,"$150,000",NSF
LEHIGH UNIVERSITY,"$50,000",NSF
CLAREMONT MCKENNA COLLEGE,"$450,000",NSF
UNIVERSITY OF ARIZONA,"$50,000",NSF
3D BIOTEK LLC,"$225,000",NSF
TEXAS A & M UNIVERSITY,"$10,111",NSF
UNIVERSITY OF MASSACHUSETTS,"$50,000",NSF
UNIVERSITY OF SOUTH CAROLINA,"$50,000",NSF
"PRESCIENT SURGICAL, INC.","$150,000",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$300,000",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$301,911",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$730,322",NSF
"FLORIDA STATE UNIVERSITY, THE","$50,000",NSF
SOMMER MATERIALS RESEARCH INC,"$149,953",NSF
ENERGYENE,"$224,202",NSF
GENCORE SYSTEMS LLC,"$150,000",NSF
MULTIMODEL RESEARCH LLC,"$150,000",NSF
HUMANVEST.CO INC.,"$150,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
UNIVERSITY OF ARIZONA,,NASA
ARIZONA STATE UNIVERSITY,,NASA
,"$86,000",NSF
UNIVERSITY OF NORTH CAROLINA AT WILMINGTON,"$22,290",NSF
UNIVERSITY OF ALABAMA,"$58,362",NSF
"NORTHWEST RESEARCH ASSOCIATES, INC.","$611,595",NSF
UNIVERSITY OF NEW MEXICO,"$49,388",NSF
UNIVERSITY OF MIAMI,"$200,000",NSF
CATHOLIC UNIVERSITY OF AMERICA (THE),"$113,134",NSF
UNIVERSITY OF OKLAHOMA,"$31,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$241,234",NSF
PURDUE UNIVERSITY,"$49,933",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$17,500",NSF
ACELOT,"$150,000",NSF
AVENTUSOFT L.L.C.,"$150,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$374,922",NSF
"ARGIL, INC","$150,000",NSF
KENT STATE UNIVERSITY,"$45,000",NSF
UNIVERSITY OF WEST GEORGIA,"$19,620",NSF
"VANDERBILT UNIVERSITY, THE","$43,000",NSF
GORDON RESEARCH CONFERENCES INC,"$10,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$35,272",NSF
CLEMSON UNIVERSITY,"$23,175",NSF
UNIVERSITY OF RICHMOND,"$47,000",NSF
KANSAS STATE UNIVERSITY,"$50,000",NSF
YALE UNIVERSITY,"$211,202",NSF
UNIVERSITY OF TENNESSEE,"$24,480",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$239,276",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$40,000",NSF
UNIVERSITY OF MASSACHUSETTS,"$171,723",NSF
"OPTICAL SOCIETY OF AMERICA, INCORPORATED THE","$10,000",NSF
UNIVERSITY OF CONNECTICUT,"$149,738",NSF
WORCESTER POLYTECHNIC INSTITUTE,"$250,224",NSF
SMITHSONIAN INSTITUTION,"$360,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$122,444",NSF
UNIVERSITY OF ALABAMA,"$140,901",NSF
OREGON STATE UNIVERSITY,"$105,540",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$510,000",NSF
"VANDERBILT UNIVERSITY, THE","$291,119",NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,"$442,119",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$61,419",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$252,726",NSF
NORTH CAROLINA STATE UNIVERSITY,"$197,667",NSF
MATERIALS RESEARCH SOCIETY,"$3,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","$800,000",NSF
LAKE FOREST COLLEGE,"$326,272",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$348,473",NSF
GEORGIA TECH RESEARCH CORPORATION,"$362,771",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$510,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$23,850",NSF
CARNEGIE MELLON UNIVERSITY,"$15,000",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE",,NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION,,NASA
UNIVERSITY OF ILLINOIS,"$299,963",NSF
UNIVERSITY OF MARYLAND,"$412,418",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$212,981",NSF
COLORADO STATE UNIVERSITY,"$587,967",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$400,000",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$82,525",NSF
NORTHWESTERN UNIVERSITY,"$400,000",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$120,892",NSF
UNIVERSITY OF MARYLAND,"$400,000",NSF
"VANDERBILT UNIVERSITY, THE",,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$459,053",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$371,381",NSF
AUBURN UNIVERSITY,"$12,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$400,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$447,950",NSF
YALE UNIVERSITY,"$732,450",NSF
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
SPACE SCIENCE INSTITUTE,,NASA
SOUTHWEST RESEARCH INSTITUTE,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
UNIVERSITY OF NORTH TEXAS,"$39,887",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$369,771",NSF
"ATMOSPHERIC AND ENVIRONMENTAL RESEARCH, INC.","$243,449",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$50,000",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$87,496",NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY,"$50,000",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$50,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$118,481",NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY,"$50,000",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$50,000",NSF
NEW MEXICO STATE UNIVERSITY,"$23,085",NSF
ARIZONA STATE UNIVERSITY,"$50,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
"TRUSTEES OF PRINCETON UNIVERSITY, THE",,NASA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$30,000",NSF
UNIVERSITY OF ARIZONA,"$353,657",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$1,320,000",NSF
PURDUE UNIVERSITY,"$408,025",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$400,000",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$226,419",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$1,880,121",NSF
UNIVERSITY OF SOUTH FLORIDA,"$400,000",NSF
NORTH CAROLINA STATE UNIVERSITY,"$92,479",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$672,570",NSF
UNIVERSITY OF WYOMING,"$28,001",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$200,000",NSF
UNIVERSITY OF HOUSTON SYSTEM,"$157,008",NSF
UNIVERSITY OF CONNECTICUT,"$15,054",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
UNIVERSITY OF WASHINGTON,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,,NASA
UNIVERSITY OF MIAMI,,NASA
TEXAS A & M UNIVERSITY,"$74,209",NSF
KETTERING UNIVERSITY,"$7,500",NSF
UNIVERSITY OF SOUTH CAROLINA,"$10,020",NSF
"CORNELL UNIVERSITY, INC","$33,375",NSF
UNIVERSITY CORPORATION FOR ADVANCED INTERNET DEVELOPMENT,"$1,318,058",NSF
UNIVERSITY OF NEBRASKA,"$43,980",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$127,847",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$250,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$300,000",NSF
UNIVERSITY OF FLORIDA,"$7,500",NSF
WESTERN WASHINGTON UNIVERSITY,"$25,951",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$145,697",NSF
NORTHEASTERN UNIVERSITY,,NASA
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$300,000",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$250,198",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$50,000",NSF
MIAMI UNIVERSITY,"$140,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$660,000",NSF
NEW YORK UNIVERSITY,"$300,000",NSF
"POLYK TECHNOLOGIES, LLC","$225,000",NSF
PURDUE UNIVERSITY,,NASA
G & A TECHNICAL SOFTWARE INC,,NASA
NOVOREACH TECHNOLOGIES LLC,"$150,000",NSF
AGRICULTURAL AND ENVIRONMENTAL GEOGRAPHIC INFORMATION SYSTEMS,"$224,868",NSF
"COLLINS, JOHN","$150,000",NSF
"KALOS TECHNOLOGIES, INC","$149,967",NSF
"ELCRITON, INC.","$225,000",NSF
LAMPROGEN INC,"$150,000",NSF
SYNTOUCH,"$149,808",NSF
LIGHTOPTECH CORP.,"$225,000",NSF
"QUANTUM SEED, LLC","$149,960",NSF
"ENGENIUSMICRO, LLC","$224,999",NSF
FOREST VUE RESEARCH LLC,"$148,606",NSF
ASCENT BIO-NANO TECHNOLOGIES INC,"$225,000",NSF
GATE FUELS,"$225,000",NSF
DOUBLE HELIX LLC,"$150,000",NSF
"ZYMTRONIX CATALYTIC SYSTEMS, INC.","$150,000",NSF
"HYBRIDASOL, LLC","$150,000",NSF
"SALGOMED, INC.","$225,000",NSF
"PRECISION POLYOLEFINS, LLC","$150,000",NSF
BOSTON ELECTROMETALLURGICAL INC,"$150,000",NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,"$401,315",NSF
UNIVERSITY OF WISCONSIN SYSTEM,,NASA
UNIVERSITY OF MIAMI,"$10,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$306,276",NSF
"UNIVERSITY OF NEVADA, RENO","$349,710",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$161,000",NSF
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,"$270,000",NSF
UNIVERSITY OF ARIZONA,"$246,246",NSF
TRUSTEES OF TUFTS COLLEGE INC,"$34,933",NSF
UNIVERSITY OF SOUTH CAROLINA,,NASA
"UNIVERSITY OF UTAH, THE",,NASA
MICHIGAN TECHNOLOGICAL UNIVERSITY,,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
UNIVERSITY OF MARYLAND,,NASA
"PENNSYLVANIA STATE UNIVERSITY, THE",,NASA
AUBURN UNIVERSITY,,NASA
UNIVERSITY OF WASHINGTON,,NASA
UNIVERSITY OF MONTANA SYSTEM,,NASA
MAXQ RESEARCH LLC,"$149,999",NSF
UNIVERSITY OF ARIZONA,"$345,882",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$120,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$120,322",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$299,999",NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"$49,799",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$15,000",NSF
NORTH CAROLINA STATE UNIVERSITY,"$657,849",NSF
"TIETRONIX SOFTWARE, INC","$224,497",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$113,517",NSF
UNIVERSITY OF CALIFORNIA MERCED,"$110,000",NSF
UNIVERSITY OF MARYLAND,,NASA
,"$86,000",NSF
"WAVE TECH, LLC","$150,000",NSF
"LYGOS, INC.","$150,000",NSF
"UNIVERSITY OF CHICAGO, THE","$127,535",NSF
"UNIVERSITY OF CHICAGO, THE","$331,464",NSF
"OPTIENZ SENSORS, LLC","$150,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$22,582",NSF
NORTHWESTERN UNIVERSITY,"$25,049",NSF
OREGON STATE UNIVERSITY,"$55,665",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$400,059",NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,"$49,856",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$15,000",NSF
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
GEORGIA TECH RESEARCH CORPORATION,"$299,999",NSF
ARCHIE MD INC.,"$149,999",NSF
"CHARLES RIVER ANALYTICS, INC.","$149,966",NSF
PLAY WORKS STUDIO,"$150,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$600,000",NSF
NATIONAL ACADEMY OF SCIENCES,"$218,000",NSF
"TIETRONIX SOFTWARE, INC","$149,909",NSF
"INHERENT GAMES, LLC","$150,000",NSF
APPRENNET LLC,"$150,000",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$219,919",NSF
ACTIVELY LEARN INC.,"$150,000",NSF
"INQUIRY TECHNOLOGIES, LLC","$150,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$21,000",NSF
UNIVERSITY OF FLORIDA,,NASA
UNIVERSITY OF ARKANSAS SYSTEM,,NASA
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$59,891",NSF
LEHIGH UNIVERSITY,"$256,775",NSF
ZYANTE INC.,"$150,000",NSF
VEHICLE DATA SCIENCE CORPORATION,"$150,000",NSF
COLORADO STATE UNIVERSITY,,NASA
UNIVERSITY OF SOUTH CAROLINA,"$14,620",NSF
"YOURLABS, LLC","$150,000",NSF
NIMBEE LLC,"$150,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$50,645",NSF
MICHIGAN STATE UNIVERSITY,"$690,437",NSF
UNIVERSITY OF DELAWARE,"$172,713",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$299,823",NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,"$588,360",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$175,126",NSF
"UNIVERSITY OF IOWA, THE",,NASA
AMERICAN SOCIETY FOR GRAVITATIONAL AND SPACE BIOLOGY,,NASA
,"$86,000",NSF
,"$86,000",NSF
COLORADO SEMINARY,"$208,634",NSF
SOUTH CAROLINA RESEARCH FOUNDATION,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,"$379,998",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$195,872",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$89,446",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$89,479",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$100,000",NSF
UNIVERSITY OF LOUISIANA AT LAFAYETTE,"$100,000",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$216,896",NSF
MARQUETTE UNIVERSITY,"$173,316",NSF
GEORGE MASON UNIVERSITY,"$5,500,000",NSF
NEVADA SYSTEM OF HIGHER EDUCATION,"$312,809",NSF
"GENERAL DYNAMICS ADVANCED INFORMATION SYSTEMS, INC.",,NASA
UNIVERSITY OF MISSOURI SYSTEM,"$7,000",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$61,026",NSF
UNIVERSITY OF MAINE SYSTEM,"$16,705",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$60,000",NSF
"OAKWOOD UNIVERSITY, INC.",,NASA
MISSISSIPPI STATE UNIVERSITY,"$135,528",NSF
UNIVERSITY OF RHODE ISLAND,"$280,691",NSF
UNIVERSITY OF TEXAS AT DALLAS,"$247,866",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$361,891",NSF
BLUE MARBLE SPACE,,NASA
KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION,"$103,041",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$10,000",NSF
"TEACHERS COLLEGE, COLUMBIA UNIVERSITY","$548,676",NSF
PRESIDENT AND BOARD OF TRUSTEES OF SANTA CLARA COLLEGE,"$407,821",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$3,500,000",NSF
SOUTHERN METHODIST UNIVERSITY INC,"$22,140",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$10,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$1,041,522",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$12,000,000",NSF
WHATCOM COMMUNITY COLLEGE,"$2,095,549",NSF
RENSSELAER POLYTECHNIC INSTITUTE,,NASA
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$3,078,369",NSF
SAINT LOUIS UNIVERSITY,,NASA
NORTH CAROLINA STATE UNIVERSITY,"$599,997",NSF
TEXAS TECH UNIVERSITY SYSTEM,"$50,000",NSF
UNIVERSITY OF CONNECTICUT,"$50,000",NSF
"21ST CENTURY PARTNERSHIP FOR STEM EDUCATION, THE","$428,763",NSF
UNIVERSITY OF ARIZONA,"$377,542",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$469,165",NSF
"NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.","$221,559",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$666,412",NSF
"WASHINGTON UNIVERSITY, THE","$250,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$993,748",NSF
UNIVERSITY OF ARKANSAS SYSTEM,"$357,786",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$4,900,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$50,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$50,000",NSF
CARNEGIE MELLON UNIVERSITY,"$7,600,000",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$20,000,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$20,000,000",NSF
OKLAHOMA STATE UNIVERSITY,"$50,000",NSF
TEXAS A & M UNIVERSITY,,NASA
UNIVERSITY OF ARIZONA,"$2,999,789",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$407,022",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$17,321",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$24,990,610",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$141,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE",,NASA
UNIVERSITY OF MARYLAND,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,,NASA
"YOUR COMMUNITY FOUNDATION, INC.",,NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION,,NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION,,NASA
NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,,NASA
"UNIVERSITY OF CALIFORNIA, IRVINE",,NASA
WILLIAM MARSH RICE UNIVERSITY,,NASA
CASE WESTERN RESERVE UNIVERSITY,,NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION,,NASA
COLLEGE OF THE SEQUOIAS FOUNDATION,,NASA
MORGAN STATE UNIVERSITY (INC),,NASA
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",,NASA
"CITY UNIVERSITY OF NEW YORK, THE",,NASA
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,,NASA
RECINTO UNIVERSITARIO MAYAGUEZ,,NASA
"VANDERBILT UNIVERSITY, THE",,NASA
NAVAJO TECHNICAL COLLEGE,,NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,,NASA
NORTH CAROLINA STATE UNIVERSITY,"$10,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$205,324",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$6,000,001",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$360,628",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$50,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$116,141",NSF
UNIVERSITY OF ILLINOIS,"$273,840",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$749,852",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$50,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$50,000",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$49,640",NSF
SYRACUSE UNIVERSITY,"$340,766",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$50,000",NSF
TRIANGLE COALITION FOR SCIENCE AND TECHNOLOGY EDUCATION,"$1,959,574",NSF
IMPACTSTORY INC.,"$297,500",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$461,848",NSF
NATIONAL ACADEMY OF SCIENCES,"$99,713",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$700,000",NSF
UNIVERSITY OF MASSACHUSETTS,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
UNIVERSITY OF TEXAS AT ARLINGTON,,NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION,,NASA
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,,NASA
YALE UNIVERSITY,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,,NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI,,NASA
UNIVERSITY OF ARKANSAS SYSTEM,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,,NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI,,NASA
WILKES UNIVERSITY,"$136,353",NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,"$49,987",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$472,237",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$390,000",NSF
"NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.",,NASA
UNIVERSITY OF WASHINGTON,,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
GANNON UNIVERSITY,,NASA
UNIVERSITY OF CINCINNATI,,NASA
UTAH STATE UNIVERSITY,,NASA
LOYOLA UNIVERSITY OF CHICAGO,"$173,956",NSF
DREXEL UNIVERSITY,"$299,998",NSF
HOPE COLLEGE,"$399,511",NSF
"GAMEDESK, INC.","$349,723",NSF
OREGON STATE UNIVERSITY,"$234,416",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$733,500",NSF
UNIVERSITY OF WASHINGTON,"$129,438",NSF
UNIVERSITY OF NEBRASKA,"$101,331",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$20,000",NSF
"DORDT COLLEGE, INCORPORATED","$248,652",NSF
"OHIO STATE UNIVERSITY, THE","$685,063",NSF
UNIVERSITY OF DELAWARE,"$400,000",NSF
CARNEGIE MELLON UNIVERSITY,"$499,680",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$1,499,987",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$184,626",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$244,500",NSF
UNIVERSITY OF ILLINOIS,"$300,000",NSF
NORTH CAROLINA STATE UNIVERSITY,"$352,831",NSF
SMITHSONIAN INSTITUTION,"$76,957",NSF
UNIVERSITY OF MASSACHUSETTS,"$249,999",NSF
NATIONAL ACADEMY OF SCIENCES,"$652,088",NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY,"$2,108,572",NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY,"$790,066",NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,"$50,000",NSF
NATIONAL ACADEMY OF SCIENCES,"$90,766",NSF
"EXPLORATORIUM, THE","$977,830",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$260,607",NSF
UNIVERSITY OF SOUTH FLORIDA,"$50,000",NSF
SOUTHWEST RESEARCH INSTITUTE,,NASA
UNIVERSITY OF ALASKA FAIRBANKS,,NASA
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
OCEAN DISCOVERY INSTITUTE,"$249,985",NSF
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY,"$133,735,392",NSF
"UNIVERSITY OF CHICAGO, THE","$89,810",NSF
AUGSBURG COLLEGE,"$141,763",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$50,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE",,NASA
"UNIVERSITY CORPORATION, THE",,NASA
APPALACHIAN STATE UNIVERSITY,,NASA
XAVIER UNIVERSITY OF LOUISIANA,,NASA
NEW YORK UNIVERSITY,,NASA
CATHOLIC UNIVERSITY OF AMERICA (THE),,NASA
"TETHERS UNLIMITED, INC.",,NASA
AMERICAN UNIVERSITY,,NASA
CARNEGIE MELLON UNIVERSITY,,NASA
"TRUSTEES OF PRINCETON UNIVERSITY, THE",,NASA
UNIVERSITY OF ILLINOIS,"$209,370",NSF
"FLORIDA STATE UNIVERSITY, THE","$250,016",NSF
GEORGIA TECH RESEARCH CORPORATION,"$15,913",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$30,794",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$25,000",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$24,910",NSF
TRUSTEES OF DARTMOUTH COLLEGE,"$282,209",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$799,920",NSF
"SCIENCE MUSEUM OF MINNESOTA, THE","$899,739",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$197,514",NSF
KCP TECHNOLOGIES,"$2,839,342",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$1,963,466",NSF
